# w,mag,phase
1.000000000000000000e+02,1.999592003259728967e+00,-1.157333068129517528e+00
1.009271514630570863e+02,1.999584248659617147e+00,-1.168280115691716636e+00
1.018628990244687600e+02,1.999576343717964111e+00,-1.179334828102243549e+00
1.028073223830864720e+02,1.999568285407773427e+00,-1.190498380702968539e+00
1.037605019766911738e+02,1.999560070636853037e+00,-1.201771964894642997e+00
1.047225189888434329e+02,1.999551696246251176e+00,-1.213156788439840206e+00
1.056934553557988323e+02,1.999543159008650983e+00,-1.224654075773491391e+00
1.066733937734857136e+02,1.999534455626717389e+00,-1.236265068321212413e+00
1.076624177045493269e+02,1.999525582731403572e+00,-1.247991024825687134e+00
1.086606113854596884e+02,1.999516536880202588e+00,-1.259833221681320392e+00
1.096680598336868542e+02,1.999507314555357462e+00,-1.271792953277435911e+00
1.106848488549411940e+02,1.999497912162012891e+00,-1.283871532350252309e+00
1.117110650504824179e+02,1.999488326026321428e+00,-1.296070290343934506e+00
1.127467958244946118e+02,1.999478552393488817e+00,-1.308390577780958797e+00
1.137921293915315033e+02,1.999468587425771382e+00,-1.320833764642125319e+00
1.148471547840289020e+02,1.999458427200407007e+00,-1.333401240756457051e+00
1.159119618598885779e+02,1.999448067707491505e+00,-1.346094416201352839e+00
1.169866413101306932e+02,1.999437504847792368e+00,-1.358914721713248452e+00
1.180712846666190359e+02,1.999426734430498120e+00,-1.371863609109176263e+00
1.191659843098558724e+02,1.999415752170899951e+00,-1.384942551719497761e+00
1.202708334768511946e+02,1.999404553688008734e+00,-1.398153044832225467e+00
1.213859262690627645e+02,1.999393134502095881e+00,-1.411496606149232447e+00
1.225113576604119032e+02,1.999381490032167141e+00,-1.424974776254789077e+00
1.236472235053714996e+02,1.999369615593355132e+00,-1.438589119096754798e+00
1.247936205471311411e+02,1.999357506394237038e+00,-1.452341222480887151e+00
1.259506464258357710e+02,1.999345157534067496e+00,-1.466232698578629368e+00
1.271183996869028903e+02,1.999332563999933754e+00,-1.480265184448863236e+00
1.282969797894147632e+02,1.999319720663815581e+00,-1.494440342574021807e+00
1.294864871145904885e+02,1.999306622279560353e+00,-1.508759861411081538e+00
1.306870229743346385e+02,1.999293263479765104e+00,-1.523225455957858410e+00
1.318986896198670422e+02,1.999279638772555989e+00,-1.537838868335162701e+00
1.331215902504307564e+02,1.999265742538276269e+00,-1.552601868385276918e+00
1.343558290220826166e+02,1.999251569026061270e+00,-1.567516254287342203e+00
1.356015110565633393e+02,1.999237112350312540e+00,-1.582583853190159484e+00
1.368587424502519241e+02,1.999222366487056313e+00,-1.597806521863034623e+00
1.381276302832009435e+02,1.999207325270187408e+00,-1.613186147365211376e+00
1.394082826282578651e+02,1.999191982387592326e+00,-1.628724647734566044e+00
1.407008085602685128e+02,1.999176331377149562e+00,-1.644423972696150482e+00
1.420053181653683225e+02,1.999160365622596469e+00,-1.660286104391315520e+00
1.433219225503573853e+02,1.999144078349267772e+00,-1.676313058128037881e+00
1.446507338521647057e+02,1.999127462619689766e+00,-1.692506883153239938e+00
1.459918652473978682e+02,1.999110511329030393e+00,-1.708869663447782905e+00
1.473454309619835954e+02,1.999093217200402783e+00,-1.725403518544973203e+00
1.487115462808953623e+02,1.999075572780008025e+00,-1.742110604373323435e+00
1.500903275579736658e+02,1.999057570432121844e+00,-1.758993114124469681e+00
1.514818922258345708e+02,1.999039202333903642e+00,-1.776053279147045805e+00
1.528863588058731011e+02,1.999020460470043004e+00,-1.793293369867489995e+00
