# w,mag,phase
1.000000000000000000e+01,1.996608635558642320e+00,-3.433972938112778372e+00
1.018628990244687493e+01,1.996481439197506758e+00,-3.497800132522326244e+00
1.037605019766911774e+01,1.996349485279610425e+00,-3.562808173809965062e+00
1.056934553557988288e+01,1.996212596854364696e+00,-3.629018595993223517e+00
1.076624177045493269e+01,1.996070590465873762e+00,-3.696453308050948294e+00
1.096680598336868506e+01,1.995923275919586182e+00,-3.765134599438143326e+00
1.117110650504824143e+01,1.995770456041030760e+00,-3.835085145621876190e+00
1.137921293915315069e+01,1.995611926426382743e+00,-3.906328013634156271e+00
1.159119618598885637e+01,1.995447475184642938e+00,-3.978886667637433927e+00
1.180712846666190252e+01,1.995276882671167318e+00,-4.052784974497988912e+00
1.202708334768512088e+01,1.995099921212315941e+00,-4.128047209362175174e+00
1.225113576604118926e+01,1.994916354820965187e+00,-4.204698061230096151e+00
1.247936205471311411e+01,1.994725938902625506e+00,-4.282762638520908993e+00
1.271183996869028832e+01,1.994528419951921094e+00,-4.362266474623535117e+00
1.294864871145904317e+01,1.994323535239158618e+00,-4.443235533426154404e+00
1.318986896198669889e+01,1.994111012486735390e+00,-4.525696214817372720e+00
1.343558290220825668e+01,1.993890569535119006e+00,-4.609675360151496371e+00
1.368587424502518424e+01,1.993661913998134860e+00,-4.695200257669862154e+00
1.394082826282577869e+01,1.993424742907300651e+00,-4.782298647869588137e+00
1.420053181653682373e+01,1.993178742344940080e+00,-4.870998728810636003e+00
1.446507338521646346e+01,1.992923587065813740e+00,-4.961329161351426542e+00
1.473454309619835101e+01,1.992658940107005616e+00,-5.053319074302655700e+00
1.500903275579735840e+01,1.992384452385802307e+00,-5.146998069488354588e+00
1.528863588058730194e+01,1.992099762285313602e+00,-5.242396226702505047e+00
1.557344772926134269e+01,1.991804495227577299e+00,-5.339544108548856194e+00
1.586356533508590516e+01,1.991498263233900667e+00,-5.438472765150815569e+00
1.615908753895918437e+01,1.991180664472204098e+00,-5.539213738717577051e+00
1.646011502308550689e+01,1.990851282791124666e+00,-5.641799067951716040e+00
1.676675034527699992e+01,1.990509687240664238e+00,-5.746261292282784261e+00
1.707909797389427808e+01,1.990155431579165857e+00,-5.852633455910401850e+00
1.739726432343801577e+01,1.989788053766414544e+00,-5.960949111639538778e+00
1.772135779080359441e+01,1.989407075442682693e+00,-6.071242324489598552e+00
1.805148879221109226e+01,1.989012001393543283e+00,-6.183547675058005844e+00
1.838776980082327839e+01,1.988602319000308150e+00,-6.297900262617883271e+00
1.873031538506437599e+01,1.988177497675944316e+00,-6.414335707928286112e+00
1.907924224765266175e+01,1.987736988286379791e+00,-6.532890155734407678e+00
1.943466926536020267e+01,1.987280222557098908e+00,-6.653600276933862467e+00
1.979671752951332664e+01,1.986806612464981914e+00,-6.776503270384043986e+00
2.016551038724746547e+01,1.986315549615367049e+00,-6.901636864324108167e+00
2.054117348353064187e+01,1.985806404604335107e+00,-7.029039317383986685e+00
2.092383480396976836e+01,1.985278526366283325e+00,-7.158749419151318349e+00
2.131362471841437767e+01,1.984731241506868527e+00,-7.290806490265791417e+00
2.171067602537264918e+01,1.984163853621454976e+00,-7.425250382008947270e+00
2.211512399725488720e+01,1.983575642599267885e+00,-7.562121475355939815e+00
2.252710642645980244e+01,1.982965863913476623e+00,-7.701460679454162239e+00
2.294676367231935998e+01,1.982333747897520704e+00,-7.843309429492099305e+00
2.337423870891814914e+01,1.981678499008041161e+00,-7.987709683919983483e+00
2.380967717380358195e+01,1.980999295074845623e+00,-8.134703920982243375e+00
2.425322741760352940e+01,1.980295286538420241e+00,-8.284335134519933419e+00
2.470504055456825299e+01,1.979565595675583545e+00,-8.436646828999487369e+00
2.516527051405391546e+01,1.978809315813945480e+00,-8.591683013722450468e+00
2.563407409296515027e+01,1.978025510535959208e+00,-8.749488196168810461e+00
2.611161100917459521e+01,1.977213212873423442e+00,-8.910107374424811155e+00
2.659804395593758386e+01,1.976371424493420070e+00,-9.073586028644129442e+00
2.709353865732051503e+01,1.975499114876783091e+00,-9.239970111489363092e+00
2.759826392466180423e+01,1.974595220490310998e+00,-9.409306037498863517e+00
2.811239171408464088e+01,1.973658643954077085e+00,-9.581640671321961733e+00
2.863609718508115876e+01,1.972688253205321818e+00,-9.757021314763711928e+00
2.916955876018796090e+01,1.971682880660565740e+00,-9.935495692578244942e+00
2.971295818577334202e+01,1.970641322377739701e+00,-1.011711193694798894e+01
3.026648059395692059e+01,1.969562337220291726e+00,-1.030191857058408722e+01
3.083031456568276951e+01,1.968444646025408806e+00,-1.048996448838142292e+01
3.140465219496752169e+01,1.967286930778683107e+00,-1.068129893755989279e+01
3.198968915434537763e+01,1.966087833797736550e+00,-1.087597149622187764e+01
3.258562476153226584e+01,1.964845956927539161e+00,-1.107403205025412340e+01
3.319266204733190051e+01,1.963559860750361041e+00,-1.127553076850067804e+01
3.381100782480685041e+01,1.962228063813530765e+00,-1.148051807613220987e+01
3.444087275973823381e+01,1.960849041878413468e+00,-1.168904462613558515e+01
3.508247144239792448e+01,1.959421227194256598e+00,-1.190116126884651493e+01
3.573602246065788535e+01,1.957943007800826640e+00,-1.211691901944716854e+01
3.640174847446141371e+01,1.956412726864012130e+00,-1.233636902334981578e+01
3.707987629168170685e+01,1.954828682048849631e+00,-1.255956251938705037e+01
3.777063694539366168e+01,1.953189124934715304e+00,-1.278655080072910621e+01
3.847426577258503499e+01,1.951492260477724505e+00,-1.301738517344840673e+01
3.919100249433404315e+01,1.949736246525657135e+00,-1.325211691265242209e+01
3.992109129748051544e+01,1.947919193391072445e+00,-1.349079721610613092e+01
4.066478091781856108e+01,1.946039163488545887e+00,-1.373347715526696611e+01
4.142232472483895833e+01,1.944094171042317631e+00,-1.398020762365631597e+01
4.219398080805026297e+01,1.942082181870924185e+00,-1.423103928249409300e+01
4.298001206490796022e+01,1.940001113255729326e+00,-1.448602250352519327e+01
4.378068629038168780e+01,1.937848833900577494e+00,-1.474520730896993292e+01
4.459627626819093393e+01,1.935623163990102702e+00,-1.500864330853433515e+01
4.542705986374045324e+01,1.933321875354552688e+00,-1.527637963342050575e+01
4.627332011878691276e+01,1.930942691749257145e+00,-1.554846486728245480e+01
4.713534534786906960e+01,1.928483289257189925e+00,-1.582494697407860684e+01
4.801342923653449901e+01,1.925941296823321380e+00,-1.610587322277898537e+01
4.890787094139589897e+01,1.923314296929728995e+00,-1.639129010889239169e+01
4.981897519205160307e+01,1.920599826420653633e+00,-1.668124327278742314e+01
5.074705239490465658e+01,1.917795377486892994e+00,-1.697577741479057067e+01
5.169241873891598260e+01,1.914898398819116832e+00,-1.727493620705488908e+01
5.265539630332755650e+01,1.911906296939785754e+00,-1.757876220220386543e+01
5.363631316739240162e+01,1.908816437723490633e+00,-1.788729673876811432e+01
5.463550352214875971e+01,1.905626148115550089e+00,-1.820057984344530411e+01
5.565330778427645697e+01,1.902332718058704186e+00,-1.851865013022890949e+01
5.669007271207433973e+01,1.898933402637680956e+00,-1.884154469646693641e+01
5.774615152359820058e+01,1.895425424451276486e+00,-1.916929901592872199e+01
5.882190401699956084e+01,1.891805976221391461e+00,-1.950194682897612708e+01
5.991769669310618696e+01,1.888072223648177506e+00,-1.983952002995470210e+01
6.103390288028621313e+01,1.884221308520088733e+00,-2.018204855194096581e+01
6.217090286163826818e+01,1.880250352087173615e+00,-2.052956024900344190e+01
6.332908400455114872e+01,1.876156458705379615e+00,-2.088208077615802338e+01
6.450884089267692900e+01,1.871936719758989565e+00,-2.123963346722197088e+01
6.571057546036270480e+01,1.867588217867534706e+00,-2.160223921079570175e+01
6.693469712958660978e+01,1.863108031382636920e+00,-2.196991632462739830e+01
6.818162294944478674e+01,1.858493239179224155e+00,-2.234268042864186654e+01
6.945177773823695588e+01,1.853740925744431278e+00,-2.272054431694269994e+01
7.074559422819878307e+01,1.848848186566224516e+00,-2.310351782912454155e+01
7.206351321293053047e+01,1.843812133822388510e+00,-2.349160772126060337e+01
7.340598369757212538e+01,1.838629902368989377e+00,-2.388481753695941734e+01
7.477346305177587737e+01,1.833298656025747819e+00,-2.428314747891327130e+01
7.616641716552891239e+01,1.827815594153953116e+00,-2.468659428138948897e+01
7.758532060787835860e+01,1.822177958520620145e+00,-2.509515108414383278e+01
7.903065678861348431e+01,1.816383040440523677e+00,-2.550880730826285614e+01
8.050291812295981231e+01,1.810428188185553955e+00,-2.592754853446846042e+01
8.200260619934130091e+01,1.804310814648555583e+00,-2.635135638444366535e+01
8.353023195026779035e+01,1.798028405246389960e+00,-2.678020840576189343e+01
8.508631582640582280e+01,1.791578526044490305e+00,-2.721407796102436905e+01
8.667138797389233673e+01,1.784958832082595537e+00,-2.765293412182992938e+01
8.828598841495150396e+01,1.778167075878742009e+00,-2.809674156821839475e+01
8.993066723187622813e+01,1.771201116085908689e+00,-2.854546049424317289e+01
9.160598475443708821e+01,1.764058926273061045e+00,-2.899904652033929153e+01
9.331251175078250526e+01,1.756738603799643306e+00,-2.945745061316055668e+01
9.505082962189506190e+01,1.749238378749956357e+00,-2.992061901356237641e+01
9.682153059967080821e+01,1.741556622891282657e+00,-3.038849317340594780e+01
9.862521794868779068e+01,1.733691858617153470e+00,-3.086100970185289682e+01
1.004625061717340344e+02,1.725642767834804747e+00,-3.133810032180938876e+01
1.023340212191642280e+02,1.717408200753695935e+00,-3.181969183716192617e+01
1.042404007021555827e+02,1.708987184529987768e+00,-3.230570611142496062e+01
1.061822941099384678e+02,1.700378931720103681e+00,-3.279606005839453076e+01
1.081603630310709434e+02,1.691582848495057023e+00,-3.329066564536621797e+01
1.101752813788387328e+02,1.682598542566003275e+00,-3.378942990943995284e+01
1.122277356208507086e+02,1.673425830770675304e+00,-3.429225498738514943e+01
1.143184250129150286e+02,1.664064746269837025e+00,-3.479903815949242585e+01
1.164480618372685541e+02,1.654515545302876811e+00,-3.530967190777778342e+01
1.186173716452479141e+02,1.644778713451917618e+00,-3.582404398884605712e+01
1.208270935044775882e+02,1.634854971364704923e+00,-3.634203752164920331e+01
1.230779802506665845e+02,1.624745279887690019e+00,-3.686353109030596187e+01
1.253707987440919709e+02,1.614450844562542731e+00,-3.738839886206845620e+01
1.277063301308644725e+02,1.603973119441434614e+00,-3.791651072044379589e+01
1.300853701090570667e+02,1.593313810179234125e+00,-3.844773241339023429e+01
1.325087291997953969e+02,1.582474876363821004e+00,-3.898192571642397297e+01
1.349772330233941773e+02,1.571458533049446826e+00,-3.951894861037914097e+01
1.374917225806419196e+02,1.560267251462086557e+00,-4.005865547347682565e+01
1.400530545393219768e+02,1.548903758850288970e+00,-4.060089728726395464e+01
1.426621015260736840e+02,1.537371037459875911e+00,-4.114552185589564459e+01
1.453197524236895504e+02,1.525672322616124177e+00,-4.169237403814268816e+01
1.480269126739508465e+02,1.513811099902585333e+00,-4.224129599142028724e+01
1.507845045861051005e+02,1.501791101431518172e+00,-4.279212742704999783e+01
1.535934676510896963e+02,1.489616301206886151e+00,-4.334470587588673141e+01
1.564547588616095766e+02,1.477290909587010370e+00,-4.389886696336875360e+01
1.593693530381774508e+02,1.464819366860170113e+00,-4.445444469297925139e+01
1.623382431612278083e+02,1.452206335952626048e+00,-4.501127173704619366e+01
1.653624407094180526e+02,1.439456694294689143e+00,-4.556917973375252728e+01
1.684429760042315252e+02,1.426575524876441792e+00,-4.612799958918201071e+01
1.715808985610004811e+02,1.413568106530506796e+00,-4.668756178318814420e+01
1.747772774464680765e+02,1.400439903484769655e+00,-4.724769667784443783e+01
1.780332016430113811e+02,1.387196554233142587e+00,-4.780823482721523021e+01
1.813497804196495338e+02,1.373843859777229559e+00,-4.836900728717598241e+01
1.847281437099634047e+02,1.360387771296083459e+00,-4.892984592401238331e+01
1.881694424970555701e+02,1.346834377305064390e+00,-4.949058372053707444e+01
1.916748492056815110e+02,1.333189890368097430e+00,-5.005105507848269042e+01
1.952455581016861004e+02,1.319460633430335372e+00,-5.061109611595831836e+01
1.988827856988809799e+02,1.305653025840322279e+00,-5.117054495879501985e+01
2.025877711735017215e+02,1.291773569132252053e+00,-5.172924202465235055e+01
2.063617767863858603e+02,1.277828832639754664e+00,-5.228703029881256015e+01
2.102060883130158402e+02,1.263825439012871144e+00,-5.284375560065140576e+01
2.141220154815729302e+02,1.249770049709482578e+00,-5.339926683984305100e+01
2.181108924191519804e+02,1.235669350531435340e+00,-5.395341626143130043e+01
2.221740781062882490e+02,1.221530037274045188e+00,-5.450605967897902104e+01
2.263129568399529603e+02,1.207358801555492356e+00,-5.505705669509153211e+01
2.305289387051706171e+02,1.193162316890007846e+00,-5.560627090869593303e+01
2.348234600554276312e+02,1.178947225065579474e+00,-5.615357010854943809e+01
2.391979840020237305e+02,1.164720122883439180e+00,-5.669882645253774456e+01
2.436540009125465929e+02,1.150487549312588786e+00,-5.724191663241850847e+01
2.481930289186252594e+02,1.136255973108503792e+00,-5.778272202375262623e+01
2.528166144331500504e+02,1.122031780940558221e+00,-5.832112882085859695e+01
2.575263326771198535e+02,1.107821266068144128e+00,-5.885702815670928345e+01
2.623237882163123800e+02,1.093630617600515720e+00,-5.939031620777820564e+01
2.672106155079432597e+02,1.079465910370590365e+00,-5.992089428392062445e+01
2.721884794575179853e+02,1.065333095447870582e+00,-6.044866890345471688e+01
2.772590759860481171e+02,1.051237991310840725e+00,-6.097355185367757713e+01
2.824241326078435463e+02,1.037186275694216508e+00,-6.149546023712193943e+01
2.876854090190591364e+02,1.023183478121785894e+00,-6.201431650391813832e+01
2.930446976972144171e+02,1.009234973130882507e+00,-6.253004847068589100e+01
2.985038245118729492e+02,9.953459741902314084e-01,-6.304258932642835589e+01
3.040646493467068581e+02,9.815215283086258236e-01,-6.355187762594918865e+01
3.097290667331406553e+02,9.677665113280661258e-01,-6.405785727134832541e+01
3.154990064958088283e+02,9.540856238912329701e-01,-6.456047748219000937e+01
3.213764344100275707e+02,9.404833880699008386e-01,-6.505969275495921522e+01
3.273633528715247394e+02,9.269641446377326899e-01,-6.555546281244811269e+01
3.334618015786362548e+02,9.135320509682417489e-01,-6.604775254372704296e+01
