# w,mag,phase
1.000000000000000021e-02,1.999999996600000052e-10,1.799965622532330087e+02
1.032828125941028484e-02,2.133467871600781427e-10,1.799964493984494140e+02
1.066733937734857564e-02,2.275842583428089717e-10,1.799963328388548405e+02
1.101752813788386791e-02,2.427718520371510483e-10,1.799962124528272511e+02
1.137921293915315074e-02,2.589729736591114859e-10,1.799960881147520126e+02
1.175277117462945192e-02,2.762552599177076411e-10,1.799959596948908427e+02
1.213859262690628396e-02,2.946908611858042480e-10,1.799958270592462952e+02
1.253707987440920262e-02,3.143567427146611794e-10,1.799956900694221247e+02
1.294864871145904976e-02,3.353350059497188715e-10,1.799955485824788468e+02
1.337372858212496247e-02,3.577132312890429192e-10,1.799954024507844110e+02
1.381276302832009500e-02,3.815848437153936406e-10,1.799952515218603253e+02
1.426621015260737604e-02,4.070495028283564912e-10,1.799950956382226650e+02
1.473454309619835062e-02,4.342135189048512895e-10,1.799949346372172840e+02
1.521825053264387086e-02,4.631902967249961949e-10,1.799947683508507623e+02
1.571783717773162642e-02,4.941008090162123525e-10,1.799945966056145608e+02
1.623382431612278159e-02,5.270741014921182108e-10,1.799944192223041455e+02
1.676675034527700184e-02,5.622478315946506221e-10,1.799942360158322288e+02
1.731717133723354590e-02,5.997688431885634961e-10,1.799940467950352740e+02
1.788566161883461958e-02,6.397937796075509884e-10,1.799938513624742882e+02
1.847281437099634188e-02,6.824897376113438941e-10,1.799936495142287072e+02
1.907924224765266200e-02,7.280349649839316115e-10,1.799934410396836881e+02
1.970557801501799516e-02,7.766196046852480064e-10,1.799932257213101821e+02
2.035247521183577643e-02,8.284464886630289541e-10,1.799930033344381854e+02
2.102060883130158278e-02,8.837319846388391508e-10,1.799927736470221475e+02
2.171067602537265009e-02,9.427068994034629733e-10,1.799925364193989310e+02
2.242339683219846114e-02,1.005617442392731238e-09,1.799922914040376440e+02
2.315951492743154386e-02,1.072726253566545259e-09,1.799920383452815145e+02
2.391979840020239806e-02,1.144313499882296573e-09,1.799917769790809245e+02
2.470504055456825346e-02,1.220678044940257340e-09,1.799915070327181468e+02
2.551606073727185134e-02,1.302138696683988240e-09,1.799912282245225583e+02
2.635370519267394435e-02,1.389035538364671351e-09,1.799909402635767890e+02
2.721884794575179720e-02,1.481731348325927502e-09,1.799906428494132626e+02
2.811239171408464257e-02,1.580613114536398255e-09,1.799903356717005920e+02
2.903526884977813971e-02,1.686093650193043111e-09,1.799900184099198270e+02
2.998844231231029278e-02,1.798613317139940272e-09,1.799896907330299598e+02
3.097290667331408301e-02,1.918641864297561780e-09,1.799893522991225723e+02
3.198968915434537846e-02,2.046680388777628979e-09,1.799890027550649449e+02
3.303985069871857860e-02,2.183263427870795273e-09,1.799886417361317115e+02
3.412448707852889368e-02,2.328961190640858093e-09,1.799882688656244056e+02
3.524473003801585624e-02,2.484381938441927577e-09,1.799878837544780481e+02
3.640174847446141226e-02,2.650174524296794276e-09,1.799874860008555117e+02
3.759674965785467921e-02,2.827031101737899277e-09,1.799870751897281309e+02
3.883098049059605095e-02,3.015690014419817710e-09,1.799866508924426114e+02
4.010572880855498012e-02,3.216938878566798987e-09,1.799862126662737865e+02
4.142232472483895617e-02,3.431617871123997427e-09,1.799857600539626503e+02
4.278214201767617519e-02,3.660623237339843480e-09,1.799852925832392714e+02
4.418659956385941057e-02,3.904911032422913084e-09,1.799848097663299598e+02
4.563716281924758839e-02,4.165501112894130760e-09,1.799843110994484903e+02
4.713534534786909674e-02,4.443481394297287895e-09,1.799837960622700450e+02
4.868271040122283677e-02,4.740012393043058248e-09,1.799832641173888419e+02
5.028087254942480155e-02,5.056332071347796892e-09,1.799827147097567774e+02
5.193149936590212012e-02,5.393761005493787146e-09,1.799821472661049313e+02
5.363631316739242427e-02,5.753707898987367282e-09,1.799815611943447209e+02
5.539709281106403038e-02,6.137675463631265696e-09,1.799809558829506670e+02
5.721567555063251931e-02,6.547266693063526899e-09,1.799803307003220425e+02
5.909395895340970734e-02,6.984191554953611350e-09,1.799796849941238577e+02
6.103390288028621297e-02,7.450274129794433781e-09,1.799790180906062460e+02
6.303753153071278703e-02,7.947460226093145489e-09,1.799783292939014530e+02
6.510693555481461559e-02,8.477825503752579799e-09,1.799776178852977182e+02
6.724427423484249933e-02,9.043584139556860059e-09,1.799768831224893688e+02
6.945177773823696388e-02,9.647098070937642928e-09,1.799761242388023561e+02
7.173174944465612879e-02,1.029088685661181392e-08,1.799753404423940992e+02
7.408656834939564284e-02,1.097763819525670441e-08,1.799745309154275787e+02
7.651869154570825615e-02,1.171021914613595300e-08,1.799736948132176337e+02
7.903065678861348475e-02,1.249168809851985968e-08,1.799728312633498035e+02
8.162508514287228345e-02,1.332530753986973557e-08,1.799719393647700372e+02
8.430468371788971127e-02,1.421455767609070821e-08,1.799710181868444749e+02
8.707224849239922349e-02,1.516315096071436046e-08,1.799700667683883637e+02
8.993066723187623235e-02,1.617504759366736285e-08,1.799690841166632538e+02
9.288292250172498765e-02,1.725447205432986297e-08,1.799680692063410561e+02
9.593209477938241525e-02,1.840593073790516338e-08,1.799670209784343342e+02
9.908136566858670446e-02,1.963423076872845988e-08,1.799659383391910694e+02
1.023340212191642257e-01,2.094450006905566735e-08,1.799648201589537848e+02
1.056934553557988404e-01,2.234220876711459718e-08,1.799636652709806697e+02
