# w,mag,phase
1.000000000000000021e-02,1.199999997959999917e-04,8.999656225323299452e+01
1.032828125941028484e-02,1.239393748881658329e-04,8.999644939844944247e+01
1.066733937734857564e-02,1.280080722805556574e-04,8.999633283885486890e+01
1.101752813788386791e-02,1.322103373817823250e-04,8.999621245282725113e+01
1.137921293915315074e-02,1.365505549692531278e-04,8.999608811475201264e+01
1.175277117462945192e-02,1.410332537643834111e-04,8.999595969489080005e+01
1.213859262690628396e-02,1.456631111580079059e-04,8.999582705924626680e+01
1.253707987440920262e-02,1.504449580909166732e-04,8.999569006942212468e+01
1.294864871145904976e-02,1.553837840946107858e-04,8.999554858247881839e+01
1.337372858212496247e-02,1.604847424975356404e-04,8.999540245078439682e+01
1.381276302832009500e-02,1.657531558022255422e-04,8.999525152186035371e+01
1.426621015260737604e-02,1.711945212389690072e-04,8.999509563822263658e+01
1.473454309619835062e-02,1.768145165017905745e-04,8.999493463721731246e+01
1.521825053264387086e-02,1.826190056727339511e-04,8.999476835085077653e+01
1.571783717773162642e-02,1.886140453406274999e-04,8.999459660561453234e+01
1.623382431612278159e-02,1.948058909207177228e-04,8.999441922230415969e+01
1.676675034527700184e-02,2.012010031817629589e-04,8.999423601583222876e+01
1.731717133723354590e-02,2.078060549873999912e-04,8.999404679503527404e+01
1.788566161883461958e-02,2.146279382588156428e-04,8.999385136247428818e+01
1.847281437099634188e-02,2.216737711659904709e-04,8.999364951422872139e+01
1.907924224765266200e-02,2.289509055550156933e-04,8.999344103968368813e+01
1.970557801501799516e-02,2.364669346192346615e-04,8.999322572131018205e+01
2.035247521183577643e-02,2.442297008222137880e-04,8.999300333443818545e+01
2.102060883130158278e-02,2.522473040808073403e-04,8.999277364702214754e+01
2.171067602537265009e-02,2.605281102168578266e-04,8.999253641939891679e+01
2.242339683219846114e-02,2.690807596863469702e-04,8.999229140403764404e+01
2.315951492743154386e-02,2.779141765951089068e-04,8.999203834528150026e+01
2.391979840020239806e-02,2.870375780105104634e-04,8.999177697908093876e+01
2.470504055456825346e-02,2.964604835788151927e-04,8.999150703271816099e+01
2.551606073727185134e-02,3.061927254582663205e-04,8.999122822452254411e+01
2.635370519267394435e-02,3.162444585782515742e-04,8.999094026357677478e+01
2.721884794575179720e-02,3.266261712352575269e-04,8.999064284941326264e+01
